symbol,date,open,high,low,close,volume
HDFCBANK,2025-08-18,1005.0,1013.2999877929688,997.7999877929688,1001.7999877929688,19284796
HDFCBANK,2025-08-19,999.1500244140625,1003.0499877929688,993.3499755859375,995.5499877929688,12352438
HDFCBANK,2025-08-20,993.5,996.0,989.5,994.0999755859375,9950228
HDFCBANK,2025-08-21,998.75,998.75,991.5999755859375,995.5999755859375,12439850
HDFCBANK,2025-08-22,994.9500122070312,998.0,978.5499877929688,982.2999877929688,19833502
HDFCBANK,2025-08-25,980.0999755859375,988.7000122070312,978.5,982.0499877929688,17518044
HDFCBANK,2025-08-26,979.5,985.7000122070312,968.0,973.4000244140625,16917731
HDFCBANK,2025-08-28,967.0,972.2000122070312,955.0,957.7999877929688,25438255
HDFCBANK,2025-08-29,954.0,963.2999877929688,950.0999755859375,951.5999755859375,14823813
HDFCBANK,2025-09-01,949.5999755859375,957.4500122070312,946.3499755859375,950.5999755859375,20178344
HDFCBANK,2025-09-02,951.0,954.7999877929688,944.0,944.5,14196320
HDFCBANK,2025-09-03,945.0,956.2999877929688,940.0,954.4500122070312,16083481
HDFCBANK,2025-09-04,960.2000122070312,965.7000122070312,956.25,961.25,17597657
HDFCBANK,2025-09-05,967.5,967.5,954.0499877929688,963.4000244140625,11602111
HDFCBANK,2025-09-08,969.0,973.1500244140625,960.4500122070312,966.0,11711307
HDFCBANK,2025-09-09,974.0,974.4000244140625,962.7000122070312,965.1500244140625,13985539
HDFCBANK,2025-09-10,973.9000244140625,973.9000244140625,961.7000122070312,965.9000244140625,18091100
HDFCBANK,2025-09-11,960.2999877929688,969.25,959.9000244140625,967.7999877929688,15113633
HDFCBANK,2025-09-12,969.9000244140625,970.75,962.25,967.2999877929688,14363519
HDFCBANK,2025-09-15,969.5999755859375,972.3499755859375,965.0,967.0499877929688,14486377
HDFCBANK,2025-09-16,961.2000122070312,969.3499755859375,961.2000122070312,966.8499755859375,18661794
HDFCBANK,2025-09-17,965.1500244140625,974.4000244140625,964.3499755859375,966.5,17361476
HDFCBANK,2025-09-18,973.2999877929688,979.6500244140625,969.25,976.9000244140625,17791598
HDFCBANK,2025-09-19,974.9000244140625,976.7000122070312,962.0999755859375,966.9000244140625,31243267
HDFCBANK,2025-09-22,964.0,971.2000122070312,961.9500122070312,964.2000122070312,10854415
HDFCBANK,2025-09-23,967.0,968.2000122070312,955.5,957.2000122070312,21022298
HDFCBANK,2025-09-24,952.2000122070312,956.4500122070312,943.0,951.0499877929688,15117220
HDFCBANK,2025-09-25,952.5,958.0,947.4000244140625,949.8499755859375,31413279
HDFCBANK,2025-09-26,945.0999755859375,951.4500122070312,941.2999877929688,945.0499877929688,14874656
HDFCBANK,2025-09-29,946.0499877929688,956.7999877929688,939.0999755859375,950.2999877929688,32398179
HDFCBANK,2025-09-30,958.0499877929688,960.0,946.2999877929688,951.0,28296687
HDFCBANK,2025-10-01,952.7000122070312,969.5999755859375,946.0,965.25,25350832
HDFCBANK,2025-10-03,952.0,966.75,952.0,965.1500244140625,26658296
HDFCBANK,2025-10-06,971.9000244140625,977.4000244140625,962.0,973.4500122070312,18542683
HDFCBANK,2025-10-07,974.0,989.8499755859375,971.0,982.5,25535736
HDFCBANK,2025-10-08,976.0,985.9000244140625,974.5499877929688,978.7000122070312,15939710
HDFCBANK,2025-10-09,974.5,979.0,970.1500244140625,977.0999755859375,15370950
HDFCBANK,2025-10-10,979.0,986.2000122070312,978.0999755859375,980.9000244140625,13757080
HDFCBANK,2025-10-13,974.2999877929688,981.0,972.0,977.0,18634254
HDFCBANK,2025-10-14,970.0,980.4500122070312,967.0,977.1500244140625,22934382
HDFCBANK,2025-10-15,975.0,984.9000244140625,973.3499755859375,978.25,23310447
HDFCBANK,2025-10-16,982.6500244140625,996.5999755859375,981.5,994.3499755859375,22936566
HDFCBANK,2025-10-17,993.9500122070312,1009.0,986.0,1002.5499877929688,25210511
HDFCBANK,2025-10-20,997.0,1020.0,997.0,1002.9500122070312,22195202
HDFCBANK,2025-10-21,1006.0,1010.0,1004.0,1007.7000122070312,3471600
HDFCBANK,2025-10-23,1016.0,1020.5,1006.0,1008.7999877929688,43526526
HDFCBANK,2025-10-24,1011.0,1011.9500122070312,991.2999877929688,994.75,17707768
HDFCBANK,2025-10-27,996.5,1009.0499877929688,996.2000122070312,1002.9500122070312,15700796
HDFCBANK,2025-10-28,997.6500244140625,1008.0,995.0,1003.5499877929688,33904289
HDFCBANK,2025-10-29,1004.9000244140625,1012.5,1000.0,1007.8499755859375,17769445
HDFCBANK,2025-10-30,1000.0,1009.5,997.0999755859375,998.1500244140625,19962917
HDFCBANK,2025-10-31,994.0,1004.4500122070312,981.1500244140625,987.2999877929688,23221330
HDFCBANK,2025-11-03,985.0,994.5499877929688,983.2999877929688,992.6500244140625,16607180
HDFCBANK,2025-11-04,987.0,997.0,983.7000122070312,985.25,20024544
HDFCBANK,2025-11-06,981.0,991.0499877929688,974.0,984.6500244140625,22279516
HDFCBANK,2025-11-07,980.0,984.9000244140625,974.75,982.2999877929688,15004568
