symbol
RELIANCE
TCS
INFY
HDFCBANK
ICICIBANK
SBIN
BHARTIARTL
ITC
LT
AXISBANK
KOTAKBANK
HINDUNILVR
MARUTI
M&M
SUNPHARMA
TITAN
BAJFINANCE
ADANIENT
ADANIPORTS
NTPC
POWERGRID
ONGC
COALINDIA
WIPRO
HCLTECH
TECHM
ULTRACEMCO
ASIANPAINT
NESTLEIND
TATASTEEL
JSWSTEEL
HINDALCO
TATAMOTORS
EICHERMOT
DRREDDY
CIPLA
DIVISLAB
APOLLOHOSP
TRENT
BEL
HAL
INDUSINDBK
GRASIM
BRITANNIA
BAJAJFINSV
HEROMOTOCO
BAJAJ-AUTO
BPCL
IOC
TATACONSUM
PIDILITIND
SIEMENS
ABB
DLF
AMBUJACEM
VEDL
ZOMATO
IRFC
RECLTD
PFC
INDIGO
DMART
CANBK
BANKBARODA
PNB
IOC
GAIL
SAIL
NHPC
IRCTC
RVNL
BHEL
IOC
LICI
ETERNAL
